Locality,2010_x,2011_x,2012_x,2013_x,2014_x,2015_x,2016_x,2017_x,2018_x,2019_x,2020_x,change 2010-2020,Growth PA,2010_y,2011_y,2012_y,2013_y,2014_y,2015_y,2016_y,2017_y,2018_y,2019_y,2020_y
Mentone,680000,692500,665000,705000,810000,950000,982500,1097500,1080000,1031000,1051000,55,4.5,$320 ,$340 ,$350 ,$355 ,$360 ,$370 ,$380 ,$400 ,$420 ,$420 ,$435 
Middle Park,1512500,1345000,1420500,1587500,2125000,2317000,2238500,2370000,2685000,2775000,2652500,75,5.8,$425 ,$440 ,$460 ,$465 ,$470 ,$495 ,$500 ,$531 ,$560 ,$560 ,$585 
Mill Park,420000,410000,405000,408000,430500,480000,560000,668500,657000,653000,690000,64,5.1,$320 ,$330 ,$330 ,$330 ,$330 ,$330 ,$345 ,$350 ,$370 ,$370 ,$375 
Mitcham,635000,595000,584500,650000,730000,885500,941000,1070000,1000000,942000,1065000,68,5.3,$330 ,$350 ,$355 ,$360 ,$370 ,$370 ,$385 ,$395 ,$418 ,$425 ,$420 
Mont Albert,1310000,1310000,1177500,1316000,1490000,1863000,1921000,2100000,1990000,1690000,2200000,68,5.3,$405 ,$410 ,$420 ,$425 ,$450 ,$440 ,$450 ,$475 ,$490 ,$520 ,$520 
Montmorency,580000,560000,561000,570000,614000,732000,780500,890000,926000,856000,916500,58,4.7,$340 ,$360 ,$360 ,$370 ,$370 ,$400 ,$400 ,$415 ,$440 ,$450 ,$450 
Moonee Ponds,852500,780500,775000,830500,920000,1006000,1110500,1310000,1360000,1300000,1290000,51,4.2,$350 ,$375 ,$390 ,$390 ,$380 ,$390 ,$400 ,$410 ,$440 ,$450 ,$430 
Mordialloc,650000,660000,642500,680000,755000,850000,933000,1120000,1046500,1017500,1045000,61,4.9,$320 ,$340 ,$350 ,$355 ,$360 ,$370 ,$380 ,$400 ,$420 ,$420 ,$435 
Mornington,512000,525000,501500,525000,558000,641000,745000,800000,850000,807000,890000,74,5.7,$340 ,$360 ,$370 ,$380 ,$390 ,$405 ,$425 ,$450 ,$460 ,$490 ,$485 
Mount Waverley,806000,745000,733000,820000,950000,1268000,1265000,1416000,1320000,1270000,1296500,61,4.9,$380 ,$400 ,$400 ,$410 ,$420 ,$440 ,$460 ,$465 ,$480 ,$510 ,$510 
Mulgrave,550000,531000,533000,577500,627000,765500,786000,900500,860000,840000,834500,52,4.3,$380 ,$400 ,$410 ,$420 ,$420 ,$440 ,$450 ,$460 ,$475 ,$500 ,$500 
Murrumbeena,835000,822000,785000,870000,982500,1204000,1286000,1420000,1350000,1243000,1410500,69,5.4,$340 ,$350 ,$360 ,$360 ,$360 ,$385 ,$395 ,$400 ,$420 ,$430 ,$440 
Narre Warren,368500,365000,356000,370000,386000,430000,486500,590000,614000,589000,610000,66,5.2,$300 ,$320 ,$330 ,$330 ,$340 ,$340 ,$350 ,$360 ,$370 ,$380 ,$380 
Newport,655000,680000,630000,695000,740000,825000,950000,1080000,1059000,1055000,1100000,68,5.3,$350 ,$360 ,$390 ,$390 ,$410 ,$430 ,$450 ,$460 ,$475 ,$480 ,$495 
Noble Park,415000,410000,382000,400000,440000,510000,600000,680000,680000,625500,674000,62,5.0,$280 ,$290 ,$295 ,$300 ,$300 ,$310 ,$320 ,$330 ,$350 ,$350 ,$360 
North Melbourne,805000,750000,775000,802500,832000,926000,1200000,1390000,1182500,1352500,1135000,41,3.5,$380 ,$400 ,$390 ,$390 ,$390 ,$400 ,$400 ,$420 ,$440 ,$450 ,$455 
Northcote,822000,780000,786000,818000,935000,1008500,1190000,1325000,1345000,1303500,1413000,72,5.6,$390 ,$410 ,$430 ,$440 ,$450 ,$450 ,$450 ,$460 ,$495 ,$500 ,$500 
Nunawading,641000,585000,591500,637500,721500,880000,970000,1090000,986000,951000,1039000,62,5.0,$330 ,$350 ,$355 ,$360 ,$370 ,$370 ,$385 ,$395 ,$418 ,$425 ,$420 
Oak Park,641000,590000,540000,576500,626000,660000,822500,853500,878500,840000,903000,41,3.5,$310 ,$330 ,$330 ,$320 ,$330 ,$340 ,$350 ,$360 ,$380 ,$390 ,$400 
Oakleigh,741000,700000,645000,753500,801500,1002000,1050000,1210000,1250000,1101000,1200000,62,4.9,$360 ,$370 ,$375 ,$380 ,$390 ,$400 ,$410 ,$430 ,$450 ,$460 ,$460 
Pakenham,335000,340000,335000,335000,350000,367000,400000,470000,520000,486000,526000,57,4.6,$285 ,$300 ,$310 ,$300 ,$310 ,$320 ,$330 ,$340 ,$350 ,$350 ,$350 
