,Locality,,Jun-10,,Jun-11,,Jun-12,,Jun-13,,Jun-14,,Jun-15,,Jun-16,,Jun-17,,Jun-18,,Jun-19,,Jun-20
,locality,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median
,Wantirna-Scoresby,686,$350 ,704,$355 ,809,$365 ,836,$370 ,797,$380 ,897,$395 ,"1,131",$400 ,"1,157",$420 ,"1,177",$430 ,"1,204",$440 ,"1,170",$440 
,Yarra Ranges,"1,174",$293 ,"1,139",$310 ,"1,274",$320 ,"1,211",$325 ,"1,158",$330 ,"1,172",$349 ,"1,097",$350 ,"1,071",$370 ,985,$380 ,903,$395 ,929,$400 
,Group Total,"6,871",$315 ,"7,161",$330 ,"7,901",$340 ,"7,958",$340 ,"7,894",$350 ,"8,127",$360 ,"8,810",$370 ,"9,026",$380 ,"8,918",$400 ,"8,956",$400 ,"8,732",$410 
South Eastern Melbourne,Berwick,"1,215",$330 ,"1,262",$350 ,"1,326",$350 ,"1,441",$350 ,"1,468",$360 ,"1,540",$365 ,"1,648",$380 ,"1,779",$390 ,"2,058",$400 ,"2,206",$395 ,"2,081",$400 
,Cranbourne,"1,240",$290 ,"1,474",$315 ,"1,697",$325 ,"1,768",$330 ,"1,909",$340 ,"2,399",$350 ,"2,430",$360 ,"2,993",$375 ,"3,497",$380 ,"3,991",$390 ,"4,119",$390 
,Dandenong,"1,408",$270 ,"1,653",$280 ,"1,754",$290 ,"1,924",$290 ,"1,890",$300 ,"2,094",$300 ,"2,299",$320 ,"2,241",$330 ,"2,130",$340 ,"2,125",$350 ,"2,184",$350 
,Dandenong North-Endeavour Hills,"1,226",$285 ,"1,231",$300 ,"1,250",$300 ,"1,344",$300 ,"1,294",$315 ,"1,312",$320 ,"1,322",$330 ,"1,347",$340 ,"1,400",$350 ,"1,356",$360 ,"1,337",$360 
,Narre Warren-Hampton Park,"1,772",$300 ,"1,854",$320 ,"2,070",$330 ,"2,096",$330 ,"2,049",$340 ,"2,192",$340 ,"2,220",$350 ,"2,297",$360 ,"2,393",$370 ,"2,494",$380 ,"2,329",$380 
,Noble Park,"1,143",$280 ,"1,267",$290 ,"1,340",$295 ,"1,417",$300 ,"1,441",$300 ,"1,444",$310 ,"1,467",$320 ,"1,435",$330 ,"1,432",$350 ,"1,421",$350 ,"1,405",$360 
,Pakenham,"1,789",$285 ,"1,884",$300 ,"2,355",$310 ,"2,337",$300 ,"2,229",$310 ,"2,206",$320 ,"2,105",$330 ,"2,204",$340 ,"2,203",$350 ,"2,299",$350 ,"2,364",$350 
,Springvale,"1,218",$300 ,"1,403",$305 ,"1,475",$320 ,"1,652",$320 ,"1,501",$330 ,"1,536",$340 ,"1,633",$350 ,"1,682",$365 ,"1,816",$380 ,"1,873",$390 ,"1,829",$400 
,Group Total,"11,011",$290 ,"12,028",$310 ,"13,267",$315 ,"13,979",$320 ,"13,781",$325 ,"14,723",$330 ,"15,124",$346 ,"15,978",$355 ,"16,929",$370 ,"17,765",$375 ,"17,648",$380 
Mornington Peninsula,Dromana-Portsea,"1,665",$265 ,"1,610",$290 ,"1,811",$290 ,"1,959",$300 ,"1,909",$310 ,"1,931",$320 ,"1,916",$340 ,"1,895",$360 ,"2,014",$375 ,"1,910",$380 ,"1,996",$390 
,Frankston,"2,750",$270 ,"2,674",$290 ,"2,808",$299 ,"2,779",$300 ,"2,869",$300 ,"2,900",$310 ,"2,848",$330 ,"2,694",$340 ,"2,879",$355 ,"2,662",$360 ,"2,744",$370 
